shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
0738+5254,J073831.31+525453.7,14.0,L4,1,d,maintain,,,,m,r,"could keep or skip, but bit noisy for colors",AR24,AR24,4055.0,DONE,L4,90.3 pc,49.6 pc,07:38:31.32, 52:54:53.7,J073831.31+525453.7,114.6305,52.9149098,,,,,,,,14.421,0.017,14.089,0.018,,,17.506,0.037,16.377,0.023,15.419,0.021,UHS DR3,21.262,0.027,Gaia DR3,-47.5,4.2,-308.8,4.2,UHS DR3,312.4,69.7,16.5,L4,red,,,Rothermich; Burgasser+ has Lick/Kast data on primary 20250308 = M5,"Tom Bickle, Cool Neighbors, NicholastheElder, SAlexandrov",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,231121.0,14.0,,COMOVER,comoving with LP 123-22; Gaia parallax from companion; Lick/Kast spectrum of primary = M5
0738+5440,J073827.55+544004.4,27.0,T7,1,d,NewDisc,,,,k,,,EastonH,EastonH,118.0,DONE,T7,21.8 pc,23.8 pc,07:38:27.56, 54:40:04.5,J073827.55+544004.4,114.6148253,54.6679134,,,,,,,,16.92,0.047,15.031,0.027,,,17.293,0.027,17.603,0.063,17.559,0.134,UHS DR3,,,,-117.5,4.8,-219.5,4.8,UHS DR3,249.0,28.1,25.8,T7,,210104.0,SpeX Prism,Jackie,"Ghost_Sheep_SWR, zbyszek_w, Arttu Sainio, Sam Goodman, Tom Bickle, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,27.0,,,Previously a YMG candidate but not anymore.
0743+3146,J074346.98+314603.4,28.0,T8,1,d,maintain,,,,m,r,"same 2021 spec, no issue. keep for colors",JDK23,JDK23,1572.0,DONE,T8,22.6 pc,25.7 pc,07:43:46.99, 31:46:03.5,J074346.98+314603.4,115.9457826,31.7676309,,,,,,,,18.172,0.156,15.63,0.051,,,18.511,0.068,,,,,UHS DR3,,,,-85.6,58.2,-188.1,55.4,unTimely (Adam),206.7,25.2,26.6,T8,,210224.0,Keck NIRES,Burgasser,"Ghost_Sheep_SWR, zbyszek_w, Arttu Sainio, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,28.0,,,Previously a YMG candidate but not anymore.
0749-6827,J074956.20-682722.4,28.0,T8,1,d,maintain,,,,m,r,"2017 spec, no issue. keep for color",RG12,JDK21,120.0,DONE,T8,15.1 pc,21.4 pc,07:49:56.21,-68:27:22.4,J074956.20-682722.4,117.4842026,-68.4562254,,,,,,,,16.953,0.034,15.231,0.022,,,17.629,0.043,,,17.907,0.291,VHS,,,,-232.6,18.3,357.0,19.1,unTimely (Adam),426.1,43.2,26.0,T8,(pec?),171203.0,FIRE Prism,Schwabb; Gonzales; Gagne,"planetsam, NibiruX, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,28.0,,,JG obtained a FIRE Echelle spectrum on Feb 3 2018 and measured RV = -9.6 ± 3.9 km/s; killing any young membership possibility (both AB Dor and Beta Pic were possibilities given its PM). Proper motion was measured by Dan.. Previously a YMG candidate but not anymore.
0749-6938,J074900.67-693831.0,23.0,T3,1,d,NewDisc,,,,k,,,EastonH,EastonH,614.0,DONE,T3,25.9 pc,26.6 pc,07:49:00.67,-69:38:31.0,J074900.67-693831.0,117.2527995,-69.6419449,,,,,,,,15.446,0.016,14.35,0.014,,,16.506,0.023,16.006,0.169,16.203,0.064,"VHS, 2MASS (H)",,,,43.5,5.9,-117.4,6.2,unTimely (Adam),125.2,15.8,22.5,T3,,181201.0,FIRE Prism,Faherty,"stevnbak, Arttu Sainio, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,23.0,,,
0752+0538,J075227.38+053802.6,19.5,L9.5,1,d,maintain,,,,m,r,"same 2022 spec, no issue. keep for color",JDK23,JDK23,2135.0,DONE,L9,17.1 pc,24.1 pc,07:52:27.38, 05:38:02.7,J075227.38+053802.6,118.1141016,5.6340811,,,,,,,,14.111,0.015,13.568,0.014,,,15.822,0.009,15.12,0.075,14.615,0.012,"UHS DR3, 2MASS (H)",,,,56.4,2.2,-592.2,2.2,UHS (Adam),594.9,68.0,16.8,L9,pec (composite?),220108.0,SpeX Prism,Faherty & Calamari,"Dan Caselden, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,19.0,,,
0756-0637,J075628.41-063709.5,16.0,L6,1,d,maintain,,,,m,r,"same 2018 spec. no issue, keep for colors.",JDK23,JDK23,305.0,DONE,L6,42.3 pc,44.4 pc,07:56:28.41,-06:37:09.6,J075628.41-063709.5,119.1183779,-6.6193326,,,,,,,,14.611,0.016,14.26,0.018,18.939,0.036,16.783,0.016,15.868,0.162,15.392,0.02,"VHS, 2MASS (H), PS1",,,,-199.2,8.1,60.9,8.1,PS1 (Adam),208.3,43.9,18.0,L6,":, blue",180402.0,ArcoIRIS,Faherty,"Sam Goodman, Dan+Guillaume, wpendrill",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,16.0,,,
0756-6001,J075648.34-600130.9,28.0,T8,1,d,NewSpec,check sd,,,k,,,RG12,EastonH,1515.0,DONE,T8,16.7 pc,19.2 pc,07:56:48.34,-60:01:30.9,J075648.34-600130.9,119.2014265,-60.0252533,,,,,,,,17.249,0.038,14.993,0.018,,,17.853,0.066,,,,,VHS,,,,315.9,17.9,-696.8,17.5,unTimely (Adam),765.1,69.5,27.3,T8,,230304.0,ArcoIRIS,Schneider,"planetsam, stevnbak",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200206.0,28.0,,,
0757-4230,J075758.18-423007.6,17.5,L7.5,1,d,NewSpec,,,,k,,,"JDK23, Azul",EastonH,2144.0,DONE,L8,25.5 pc,22.9 pc,07:57:58.18,-42:30:07.6,J075758.18-423007.6,119.4924311,-42.5021164,,,,,,,,13.637,0.013,13.262,0.01,,,16.474,0.016,15.848,0.148,14.776,0.013,"VHS, 2MASS (H)",,,,-109.8,1.9,63.5,1.8,VHS (Adam),126.8,13.8,17.6,L8,,230304.0,ArcoIRIS,Schneider,Dan Caselden,SIMBAD,VizieR,FC,GSA,wiseview,OK,30.8,98.7,ARG(54);CARN(45),ARG,201027.0,18.0,,YMG,
0758+5711,J075831.11+571153.9,26.5,T6.5,1,d,NewSpec,,,,k,,,JDK21,EastonH,1042.0,DONE,T7,27.8 pc,23.6 pc,07:58:31.12, 57:11:54.0,J075831.11+571153.9,119.629654,57.1983282,,,,,,,,17.615,0.081,15.011,0.026,,,17.825,0.042,18.113,0.093,,,UHS DR3,,,,-161.1,16.4,-368.3,16.5,UHS (Adam),402.0,45.0,26.6,T7,,210224.0,Keck NIRES,Burgasser,"Ghost_Sheep_SWR, zbyszek_w, Arttu Sainio, Sam Goodman, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,27.0,,,Previously a YMG candidate but not anymore.
