shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
1211-3059,J121114.53-305911.0,29.0,d/sdT9,2,sd,NewDisc,check ind.,,,k,,,EastonH,EastonH,1431.0,DONE,T8,47.0 pc,27.6 pc,12:11:14.53,-30:59:11.1,J121114.53-305911.0,182.8105411,-30.9864135,,,,,,,,18.795,0.236,15.781,0.05,20.668,0.211,20.099,0.257,,,,,VHS,,,,-57.2,58.0,228.4,55.3,unTimely (Adam),235.4,30.8,29.0,T8,pec?,200214.0,FIRE Prism,Schneider,"Ben Pumphrey, Arttu Sainio, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,191027.0,28.0,,,Attempted with FIRE by Schneider -- T w/ very low S/N
1211+5234,J121120.52+523409.2,12.0,L2,1,d,NewDisc,check ind.,,,k,,,EastonH,EastonH,1586.0,DONE,L4,40.0 pc,41.7 pc,12:11:20.53, 52:34:09.3,J121120.52+523409.2,182.835531,52.5692424,,,,,,,,13.998,0.013,13.712,0.012,,,15.741,0.01,15.021,0.008,14.369,0.007,UHS DR3,19.976,1.15,GaiaDR3,-80.1,0.8,-49.9,1.1,GaiaDR3,94.4,22.4,12.7,L4,,220520.0,SpeX Prism,Hamlet,"Huga A. Durantini Luca (Shigeru), Melina_T, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,14.0,,,
1211+3746,J121122.02+374618.8,13.0,L3,1,d,NewDisc,,,,k,,,EastonH,EastonH,178.0,DONE,L3.5,88.9 pc,75.6 pc,12:11:22.03, 37:46:18.9,J121122.02+374618.8,182.8417728,37.7719033,,,,,,,,15.129,0.016,14.922,0.025,19.436,0.043,17.284,0.033,16.399,0.023,15.668,0.021,UHS DR3,,,,-302.1,4.7,19.3,4.7,UHS DR3,302.7,108.5,13.3,L3.5,,220310.0,SpeX Prism,"Calamari, Hamlet","touches, Dan+Guillaume, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,13.5,,COLOR_OUTLIER,Also: Color_Oulier (is it red ?)
1211-1600,J121122.23-160045.9,28.0,T8,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,1432.0,DONE,T8.5,14.6 pc,19.6 pc,12:11:22.23,-16:00:46.0,J121122.23-160045.9,182.8426393,-16.0127712,,,,,,,,17.584,0.092,15.3,0.036,19.464,0.086,18.301,0.039,18.543,0.104,18.355,0.223,VHS,,,,-197.3,41.9,-91.8,49.1,CatWISE2020,217.6,20.2,26.1,T8.5,slightly red,230630.0,FIRE Prism,"Jackie, Austin R.","Sam Goodman, Tom Bickle, MartinKb, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,191027.0,28.5,,,
1215+4156,J121549.70+415615.3,8.0,d/sdM8,1,sd,NewDisc,check ind,,,k,,,EastonH,EastonH,1588.0,DONE,M8,125.0 pc,66.4 pc,12:15:49.71, 41:56:15.4,J121549.70+415615.3,183.9571172,41.9376044,,,,,,,,13.711,0.019,13.418,0.017,,,15.101,0.007,14.642,0.007,14.216,0.009,UHS DR3,20.803,0.519,GaiaDR3,-148.4,0.5,-101.8,0.5,GaiaDR3,179.9,41.0,13.9,M8,d/sd,240203.0,SpeX Prism,"Rothermich, Suarez","peter jalowiczor, Melina_T, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,8.0,,,
1216-1356,J121625.45-135612.8,8.0,M8,1,d,NewDisc,,,,k,,,EastonH,EastonH,3362.0,DONE,M8,197.3 pc,107.8 pc,12:16:25.45,-13:56:12.9,J121625.45-135612.8,184.1060534,-13.9369047,,,,,,,,14.737,0.018,14.471,0.023,16.994,0.018,16.092,0.011,15.505,0.017,15.08,0.017,VHS,13.544,1.754,GaiaDR3,-87.7,2.0,-20.0,2.3,GaiaDR3,90.0,31.5,14.2,M8,,220612.0,SpeX Prism,"Rothermich, Hamlet, Faherty",jean marc gantier,SIMBAD,VizieR,FC,GSA,wiseview,NOT OK,46.1,89.5,APW1(72);CARN(26),APW1,211008.0,8.0,,YMG,
1227+4134,J122736.10+413451.9,24.0,T4,1,d,NewSpec,,,,k,r,touch base w/austin,AR24,EastonH,183.0,DONE,T3.5,29.4 pc,38.7 pc,12:27:36.10, 41:34:52.0,J122736.10+413451.9,186.9004331,41.5811046,,,,,,,,16.377,0.064,15.236,0.054,19.351,0.021,16.745,0.024,16.528,0.023,16.55,0.059,UHS DR3,,,,88.0,6.2,-326.1,6.2,UHS DR3,337.7,62.0,23.1,T3.5,,190123.0,SpeX Prism,Jackie and Eileen,"touches, stevnbak, Dan+Guillaume, Borvo, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171221.0,23.5,,COMOVER,Comover! USNO-B11316-0238581; RA; dec; 186.5295167; 41.6474944; Gaia data from companion -- Gaia parallax is inconsistent with T spectral type; but it's definitely a T based on 2MASS and WISE colors.  Hmmmmmmm.; maybe co-mover is not physically related?
1231-5348,J123149.84-534838.7,24.0,T4,1,d,NewSpec,clean 1 point up,,,k,,,JDK23,EastonH,2363.0,DONE,T4,25.3 pc,30.7 pc,12:31:49.85,-53:48:38.7,J123149.84-534838.7,187.9577056,-53.8107576,,,,,,,,15.656,0.022,14.813,0.022,,,16.415,0.016,16.205,0.228,16.145,0.042,"VHS, 2MASS (H)",,,,147.5,15.3,-172.8,14.5,unTimely (Adam),227.2,33.1,22.1,T4,,230302.0,ArcoIRIS,Schneider,"Dan Caselden, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,24.0,,,
1234-6419,J123455.88-641923.7,9.5,M9.5,1,d,NewSpec,,,,k,,,JDK23,EastonH,916.0,DONE,M9,32.8 pc,27.1 pc,12:34:55.89,-64:19:23.7,J123455.88-641923.7,188.7328624,-64.3232528,,,,,,,,12.133,0.012,11.994,0.009,14.588,0.022,13.774,0.012,13.042,0.031,12.544,0.029,"VIRAC2, 2MASS (H)",38.708,0.225,GaiaDR3,-260.5,0.2,109.8,0.3,GaiaDR3,282.7,34.6,10.3,M9,sl. red,230402.0,ArcoIRIS,Schneider,"Sam Goodman, Guoyou Sun, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,9.0,,,
1242-2335,J124204.99-233531.8,9.0,M9,2,d,NewDisc,,,,k,,,EastonH,EastonH,530.0,DONE,M9,105.4 pc,88.8 pc,12:42:04.99,-23:35:31.9,J124204.99-233531.8,190.5208094,-23.5921943,,,,,,,,14.787,0.017,14.569,0.02,17.195,0.013,16.312,0.01,15.661,0.115,15.093,0.018,"VHS, 2MASS (H)",,,,-105.2,2.6,-58.2,3.1,NSC DR2,120.2,50.6,10.9,M9,Very low signal should be redone,220520.0,SpeX Prism,Hamlet,"Dan+Guillaume, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,9.0,,,
1253-2053,J125326.64-205335.9,24.0,d/sdT4,1,sd,NewDisc,check indx,,,k,,,EastonH,EastonH,385.0,DONE,T4,35.8 pc,34.4 pc,12:53:26.64,-20:53:35.9,J125326.64-205335.9,193.3610083,-20.8933071,,,,,,,,16.215,0.037,15.058,0.034,18.196,0.032,17.166,0.024,16.424,0.223,17.033,0.082,"VHS, 2MASS reject (H)",,,,-182.9,12.7,-215.9,12.7,PS1 (Adam),283.0,46.2,21.6,T4,,180402.0,ArcoIRIS,Faherty,"stevnbak, Sam Goodman, Melina Thevenot, NibiruX, MartinKb, Borvo, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180131.0,24.0,,,in ESO Archive as quasar candidate
1253+3841,J125302.00+384109.8,21.0,T1,1,d,NewDisc,,,,k,,,EastonH,EastonH,384.0,DONE,T0.5,38.8 pc,43.3 pc,12:53:02.00, 38:41:09.9,J125302.00+384109.8,193.258353,38.6860799,,,,,,,,15.721,0.021,15.081,0.027,19.93,0.136,17.666,0.043,16.941,0.032,16.402,0.043,UHS DR3,,,,-189.7,3.4,-59.6,3.4,UHS DR3,198.9,40.8,16.8,T0.5,,190122.0,SpeX Prism,Jackie,"stevnbak, Melina T, Arttu Sainio, Sam Goodman, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,20.5,,,
1256-1002,J125656.38-100247.8,14.0,L4,1,d,NewDisc,,,,k,,,EastonH,EastonH,188.0,DONE,L4,53.6 pc,53.7 pc,12:56:56.38,-10:02:47.8,J125656.38-100247.8,194.2349241,-10.0466168,,,,,,,,14.467,0.017,14.262,0.021,17.696,0.029,16.373,0.012,15.608,0.015,15.0,0.013,VHS,,,,-48.5,4.8,-287.2,4.8,PS1 (Adam),291.2,74.1,14.0,L4,Very low signal,220518.0,SpeX Prism,"Calamari, Hamlet","telmahsel, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,14.0,,,
1257-7255,J125717.84-725529.4,10.0,sdL0,3,sd,NewSpec,TRY FITTING,,,k,,,"JDK23, Azul",EastonH,3158.0,DONE,M8,151.9 pc,56.1 pc,12:57:17.85,-72:55:29.5,J125717.84-725529.4,194.3243725,-72.9248541,,,,,,,,13.6,0.014,13.054,0.01,,,15.524,0.006,14.801,0.053,14.199,0.008,"VHS, 2MASS (H)",13.74,1.027,GaiaDR3,-48.8,1.1,-10.1,1.6,GaiaDR3,49.8,17.2,17.8,M8,"unusually blue, does not explain W2 brightness...",230319.0,ArcoIRIS,Schneider,"Arttu Sainio, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210312.0,8.0,,,odd colors -- phototype does not align with Gaia distance
1257+5552,J125709.63+555220.6,15.0,L5,1,d,NewDisc,,,,k,,,EastonH,EastonH,831.0,DONE,(L4),78.0 pc,67.5 pc,12:57:09.64, 55:52:20.7,J125709.63+555220.6,194.290164,55.8724045,,,,,,,,15.119,0.016,14.758,0.02,19.374,0.037,17.19,0.026,16.418,0.023,15.811,0.035,UHS DR3,,,,-280.8,5.5,65.5,5.5,UHS DR3,288.3,92.2,14.2,,,240502.0,SpeX Prism,"Rothermich, Gramaize, Suarez","stevnbak, Melina_T, Arttu Sainio, wpendrill, Sam Goodman, al2980, MartinKb, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,14.0,,,
1309-5438,J130951.63-543850.7,9.0,M9,1,d,NewSpec,,,,k,,,CR18,EastonH,918.0,DONE,M9,24.4 pc,19.0 pc,13:09:51.63,-54:38:50.8,J130951.63-543850.7,197.4651438,-54.6474366,,,,,,,,11.442,0.01,11.219,0.008,,,13.133,0.001,12.5,0.034,12.156,0.002,"VHS, 2MASS (H)",48.321,0.124,GaiaDR3,-170.8,0.1,-185.3,0.1,GaiaDR3,252.0,24.7,9.5,M9,,230203.0,ArcoIRIS,Schneider,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,9.0,,,M9.5 phototype in Reyle 2018. Previously a YMG candidate but not anymore.
1313+2140,J131309.14+214005.6,18.0,L8,1,d,NewDisc,,,,k,,,EastonH,EastonH,657.0,DONE,L6,52.2 pc,50.5 pc,13:13:09.15, 21:40:05.7,J131309.14+214005.6,198.2881105,21.6682464,,,,,,,,14.939,0.018,14.54,0.021,19.379,0.028,17.242,0.025,16.288,0.017,15.652,0.024,UHS DR3,,,,-184.8,2.1,-50.8,2.1,UHS DR3,191.6,45.9,15.2,L6,beta?,190123.0,SpeX Prism,Jackie and Eileen,"stevnbak, MartinKb, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,16.0,,,
1315-4936,J131548.23-493645.4,23.0,T3,1,d,maintain,,,,m,r,,JDK21,JDK21,192.0,DONE,T3,16.4 pc,16.6 pc,13:15:48.23,-49:36:45.4,J131548.23-493645.4,198.950959,-49.6126133,,,,,,,,14.574,0.015,13.332,0.011,,,15.523,0.006,15.207,0.081,15.109,0.016,"VHS, 2MASS (H)",,,,125.2,4.0,-136.3,3.8,unTimely (Adam),185.1,14.6,22.0,T3,pec (red),180202.0,FIRE Prism,Gagne,"karmeliet, Arttu Sainio, Sam Goodman, nikborovik, al2980",SIMBAD,VizieR,FC,GSA,wiseview,OK,17.0,99.5,CUMA,CUMA,180629.0,23.0,,YMG,
1324-0526,J132403.81-052631.4,24.0,sdT4,2,sd,maintain,,,,m,r,"same spec, roughly same type. keep for colors",JDK23,JDK23,2414.0,DONE,T4,31.2 pc,25.5 pc,13:24:03.82,-05:26:31.5,J132403.81-052631.4,201.0158982,-5.442078,,,,,,,,16.476,0.155,14.408,0.056,17.891,0.044,16.87,0.02,17.027,0.051,17.4,0.165,VHS,,,,-50.3,13.9,-53.2,14.0,NSC DR2,73.2,8.9,26.2,T4,pec; sdT4?,220118.0,SpeX Prism,Faherty & Calamari,"Dan Caselden, stevnbak, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,OK,18.8,99.6,OCTN(76);TWA(20),OCTN,201027.0,24.0,,YMG,
1330-1359,J133053.00-135919.1,25.5,sdT5.5,1,sd,NewDisc,,,,k,,,EastonH,EastonH,194.0,DONE,T5,39.9 pc,36.0 pc,13:30:53.01,-13:59:19.2,J133053.00-135919.1,202.7208616,-13.9886653,,,,,,,,17.22,0.067,15.344,0.041,18.569,0.057,17.523,0.03,17.706,0.08,,,VHS,,,,-358.9,28.8,-323.9,28.8,PS1 (Adam),483.4,82.5,25.7,T5,Very low signal in the K band,220324.0,SpeX Prism,Calamari,"touches, zbyszek_w, Borvo, Austin Rothermich, nikborovik, Arttu Sainio, Sam Goodman, Tom Bickle, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,25.0,,,
1334-6257,J133427.46-625736.6,11.0,L1,1,d,NewSpec,check against M9,,,k,,,JDK23,EastonH,3389.0,DONE,M9,24.7 pc,15.0 pc,13:34:27.46,-62:57:36.6,J133427.46-625736.6,203.6144231,-62.9601768,,,,,,,,10.891,0.012,10.71,0.009,13.808,0.003,13.165,0.002,12.537,0.002,11.51,0.001,VVV,48.643,0.436,GaiaDR3,-219.2,0.4,-31.3,0.5,GaiaDR3,221.5,21.6,14.0,M9,,230210.0,ArcoIRIS,Schneider,MartinKb,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,211008.0,9.0,,,probably earlier type based on gaia paallax
1339-1455,J133905.84-145527.2,16.0,L6,1,d,NewDisc,double chekc young,,,k,,,EastonH,EastonH,2434.0,DONE,L6,44.0 pc,38.4 pc,13:39:05.85,-14:55:27.2,J133905.84-145527.2,204.774369,-14.9242353,,,,,,,,14.291,0.015,13.942,0.015,18.166,0.032,16.868,0.015,15.889,0.014,15.153,0.014,VHS,,,,90.9,4.7,-60.0,4.4,unTimely (Adam),109.0,19.8,16.7,L6,,220620.0,SpeX Prism,Rothermich,"Dan Caselden, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,OK,35.3,99.7,CUMA,CUMA,201027.0,16.0,,YMG,
1341+5919,J134109.61+591939.1,16.0,L6beta,2,y,NewDisc,,,,k,,,EastonH,EastonH,2435.0,DONE,L8,36.1 pc,32.2 pc,13:41:09.61, 59:19:39.1,J134109.61+591939.1,205.2900501,59.3275283,,,,,,,,14.482,0.014,13.999,0.012,,,17.227,0.028,16.235,0.023,15.313,0.021,UHS DR3,,,,74.0,2.0,15.5,2.0,UHS DR3,75.6,11.5,18.3,L8,vlg?,220620.0,SpeX Prism,Rothermich,"Dan Caselden, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,OK,37.8,99.9,CUMA,CUMA,201027.0,18.0,,YMG,
1342+3746,J134235.60+374642.7,24.0,d/sdT4,2,sd,NewDisc,,,,k,,,EastonH,EastonH,3160.0,DONE,T4.5,40.8 pc,37.0 pc,13:42:35.61, 37:46:42.8,J134235.60+374642.7,205.6483719,37.778542,,,,,,,,16.655,0.034,15.304,0.032,,,17.483,0.031,17.48,0.051,17.885,0.167,UHS DR3,,,,-157.1,2.4,45.6,2.4,UHS DR3,163.6,28.7,24.7,T4.5,,220307.0,SpeX Prism,"Calamari, Hamlet",touches,SIMBAD,VizieR,FC,GSA,wiseview,OK,47.2,99.4,CRIUS224(84);APW1(15),CRIUS224,210312.0,24.5,,YMG,
1346+5306,J134642.01+530645.2,12.5,L2.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,924.0,DONE,L2,32.3 pc,28.9 pc,13:46:42.02, 53:06:45.3,J134642.01+530645.2,206.6750792,53.1125715,,,,,,,,12.898,0.013,12.638,0.009,16.762,0.009,14.701,0.004,14.036,0.004,13.406,0.004,UHS DR3,26.918,0.371,GaiaDR3,-119.1,0.4,115.8,0.4,GaiaDR3,166.1,29.3,9.5,L2,sl blue,190316.0,SpeX Prism,Faherty,"Melina ThÈvenot, Sam Goodman, Karl Selg-Mann, fkiwy, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,OK,18.8,99.9,OCTN,OCTN,180926.0,12.0,,YMG,
1348-2712,J134856.52-271241.5,16.0,L6gamma,2,y,NewDisc,,,,k,,,"EastonH, Azul",EastonH,925.0,DONE,L7,52.8 pc,35.8 pc,13:48:56.53,-27:12:41.6,J134856.52-271241.5,207.2355388,-27.2115479,,,,,,,,14.443,0.016,14.012,0.017,19.38,0.091,17.708,0.035,16.05,0.208,15.52,0.026,"VHS, 2MASS (H)",,,,-144.9,5.4,-28.1,5.1,unTimely (Adam),147.6,25.0,18.0,L7,intg? blue?,220224.0,SpeX Prism,Faherty & Hamlet,"Sam Goodman, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,OK,33.7,99.1,ARG(55);CARN(44),ARG,180926.0,17.0,,YMG,
1351-1015,J135117.05-101508.8,13.0,L3,2,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,1123.0,DONE,L3,54.2 pc,46.0 pc,13:51:17.06,-10:15:08.8,J135117.05-101508.8,207.8210779,-10.2524449,,,,,,,,14.028,0.015,13.767,0.014,17.307,0.019,16.05,0.009,15.174,0.009,14.516,0.01,VHS,,,,-144.0,3.2,-25.5,3.2,NSC DR2,146.3,31.9,13.7,L3,,220518.0,SpeX Prism,"Calamari, Hamlet","Sam Goodman, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,OK,35.6,96.8,CARN(83);ARG(14),CARN,190106.0,13.0,,YMG,
1359-0446,J135925.09-044643.8,13.0,L3,1,d,NewDisc,,,,k,,,EastonH,EastonH,1124.0,DONE,L5,54.6 pc,47.4 pc,13:59:25.10,-04:46:43.8,J135925.09-044643.8,209.8545683,-4.7788434,,,,,,,,14.529,0.016,14.184,0.017,18.249,0.057,16.859,0.019,15.851,0.02,15.18,0.02,VHS,,,,-127.5,7.2,27.3,7.3,NSC DR2,130.4,29.3,14.9,L5,Low signal,220520.0,SpeX Prism,Hamlet,"Melina_T, Sam Goodman, al2980, MartinKb, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,15.0,,,in ESO Archive
1400-1439,J140054.31-143923.1,22.0,T2,2,d,NewDisc,,,,k,,,EastonH,EastonH,387.0,DONE,T2,29.0 pc,37.0 pc,14:00:54.31,-14:39:23.2,J140054.31-143923.1,210.2262958,-14.656437,,,,,,,,15.793,0.027,14.943,0.03,18.093,0.032,16.881,0.016,16.395,0.021,16.238,0.033,VHS,,,,86.7,9.3,-199.3,9.3,PS1 (Adam),217.3,38.2,20.4,T2,,180402.0,ArcoIRIS,Faherty,"stevnbak, Sam Goodman, Melina T, MartinKb, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,22.0,,,in ESO Archive
1402+1021,J140247.82+102132.7,24.0,T4,1,d,NewSpec,,,,k,,,AM20a,EastonH,2979.0,DONE,T4.5,25.3 pc,25.0 pc,14:02:47.82, 10:21:32.8,J140247.82+102132.7,210.6992507,10.3591105,,,,,,,,15.807,0.025,14.455,0.019,17.462,0.023,16.443,0.139,16.18,0.022,16.403,0.036,"UKIDSS LAS, 2MASS reject (J)",,,,-168.8,8.0,66.3,8.0,PS1 (Adam),181.3,21.5,24.7,T4.5,,220612.0,SpeX Prism,"Rothermich, Hamlet, Faherty","touches, stevnbak, Sam Goodman, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,OK,26.4,95.3,ARG(83);CARN(13),ARG,201104.0,24.5,,YMG,in Meisner+2020a
1408-4917,J140808.52-491759.4,25.0,T5,1,d,NewSpec,,,,k,,,JDK23,EastonH,1177.0,DONE,T5,22.2 pc,24.9 pc,14:08:08.53,-49:17:59.5,J140808.52-491759.4,212.0355212,-49.2998585,,,,,,,,16.055,0.026,14.543,0.019,,,16.244,0.016,,,16.41,0.061,VHS,,,,-433.0,17.0,-356.1,16.2,unTimely (Adam),560.6,66.2,23.8,T5,,230304.0,ArcoIRIS,Schneider,"NibiruX, Sam Goodman, Arttu Sainio, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,25.0,,,in ESO Archive
1411-4811,J141127.70-481153.4,26.5,T6.5,1,d,NewSpec,,,,k,,,ACS16,EastonH,3401.0,DONE,T6.5,20.8 pc,19.0 pc,14:11:27.70,-48:11:53.4,J141127.70-481153.4,212.8654328,-48.1981711,,,,,,,,16.638,0.04,14.358,0.019,,,16.794,0.026,,,17.368,0.152,VHS,58.2,4.7,Kirk21,-354.5,10.8,-336.8,10.1,Kirk21,489.0,39.8,26.5,T6.5,,230402.0,ArcoIRIS,Schneider,"stevnbak, Karl Selg-Mann, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,211008.0,26.5,,,"discovered in Schneider+2016 (no spectral type), in Kirkpatrick+2021"
1412+3414,J141227.64+341422.7,12.0,L2beta,2,y,NewDisc,,,,k,,,EastonH,EastonH,2469.0,DONE,L2,71.1 pc,59.9 pc,14:12:27.64, 34:14:22.7,J141227.64+341422.7,213.115169,34.2396469,,,,,,,,14.509,0.015,14.218,0.015,,,16.418,0.018,15.699,0.014,15.045,0.017,UHS DR3,,,,-82.1,2.6,16.0,2.6,UHS DR3,83.6,23.7,14.2,L2,int-g,240219.0,SpeX Prism,Rothermich,"Dan Caselden, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,12.0,,,
1416+1923,J141642.10+192351.8,9.5,M9.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,537.0,DONE,M9.5,98.6 pc,95.0 pc,14:16:42.11, 19:23:51.8,J141642.10+192351.8,214.1754531,19.3977264,,,,,,,,15.086,0.021,14.866,0.027,18.444,0.024,16.552,0.017,15.914,0.016,15.388,0.022,UHS DR3,,,,-13.4,1.8,-174.1,1.8,UHS DR3,174.6,78.6,11.0,M9.5,,220531.0,SpeX Prism,Hamlet,"Dan+Guillaume, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,9.5,,,in LaTE-MoVeRS
1417+0418,J141737.21+041847.2,8.0,M8,1,d,maintain,,,,m,r,,AR24,AR24,440.0,DONE,M8,118.6 pc,64.7 pc,14:17:37.21, 04:18:47.2,J141737.21+041847.2,214.4050608,4.3131162,,,,,,,,13.56,0.013,13.363,0.012,15.921,0.006,14.987,0.003,14.327,0.004,13.808,0.005,UKIDSS LAS,16.012,0.451,GaiaDR3,-108.1,0.6,-202.6,0.5,GaiaDR3,229.6,68.0,9.5,M8,Normal,180616.0,SpeX Prism,Jonathan;Michaela,peter jalowiczor,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,8.0,,COMOVER,comoving w/ LSPM J1417+0418
1426-2703,J142638.91-270324.2,12.0,L2beta,1,y,NewDisc,check score,,,k,,,EastonH,EastonH,1126.0,DONE,L3,56.9 pc,43.7 pc,14:26:38.91,-27:03:24.3,J142638.91-270324.2,216.6621307,-27.0567376,,,,,,,,13.933,0.014,13.656,0.013,17.439,0.017,16.157,0.009,15.28,0.089,14.505,0.01,"VHS, 2MASS (H)",,,,-182.1,3.9,-69.6,3.7,unTimely (Adam),194.9,40.4,15.0,L3,int-g,220619.0,SpeX Prism,Rothermich,"Sam Goodman, al2980, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,OK,32.1,88.4,CARN(94);ARG(6),CARN,190106.0,13.0,,YMG,
1428-0644,J142830.96-064435.5,15.0,L5,1,d,maintain,,,,m,r,,CR18,JDK23,669.0,DONE,L5,21.8 pc,24.4 pc,14:28:30.97,-06:44:35.5,J142830.96-064435.5,217.1290268,-6.743199,,,,,,,,12.994,0.013,12.74,0.01,16.191,0.008,14.868,0.003,14.142,0.004,13.628,0.004,VHS,44.076,0.896,GaiaDR3,-100.6,0.8,-123.3,0.7,GaiaDR3,159.2,17.1,15.5,L5,sl blue,190315.0,SpeX Prism,Faherty,"Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171228.0,15.0,,,L4 phototype in Reyle 2018
1437+6230,J143701.22+623021.6,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,1602.0,DONE,L4.5,45.1 pc,48.0 pc,14:37:01.23, 62:30:21.6,J143701.22+623021.6,219.2551123,62.5060035,,,,,,,,14.318,0.013,14.112,0.012,,,16.211,0.087,15.127,0.102,14.966,0.104,2MASS,15.716,1.197,GaiaDR3,-181.0,1.7,124.3,1.5,GaiaDR3,219.6,66.2,14.6,L4.5,blue,240216.0,SpeX Prism,Rothermich,"Borvo, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,200424.0,14.5,,,LaTe-MoVeRS
1437-1023,J143753.89-102302.3,11.0,L1,1,d,NewDisc,check bin score,,,k,,,EastonH,EastonH,927.0,DONE,L2,48.9 pc,37.7 pc,14:37:53.90,-10:23:02.4,J143753.89-102302.3,219.4745804,-10.3839889,,,,,,,,13.499,0.015,13.214,0.012,16.921,0.015,15.603,0.007,14.716,0.007,14.019,0.007,VHS,19.743,1.231,GaiaDR3,-147.7,1.6,-24.6,1.3,GaiaDR3,149.7,35.9,9.5,L2,red,190316.0,SpeX Prism,Faherty,"stevnbak, Hugo A. Durantini Luca (Shigeru), Melina ThÈvenot, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,12.0,,,SpT based on Gaia parallax
1454+4911,J145441.03+491155.0,15.0,L5,1,d,NewDisc,,,,k,,,EastonH,EastonH,2505.0,DONE,L5.5,60.2 pc,47.5 pc,14:54:41.03, 49:11:55.1,J145441.03+491155.0,223.6709709,49.1986376,,,,,,,,14.737,0.014,14.297,0.014,,,17.31,0.028,,,15.546,0.022,UHS DR3,,,,-94.1,4.3,108.1,4.3,UHS DR3,143.3,32.3,16.7,L5.5,,220612.0,SpeX Prism,"Rothermich, Hamlet, Faherty","Dan Caselden, Sam Goodman, al2980, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,OK,49.9,98.1,CRIUS198,CRIUS198,201027.0,15.5,,YMG,
